datetime,open,high,low,close,volume,kline_status,raw_fractal,candidate_display,valid_fractal
2024-09-27,30.51,32.88,30.2,32.3,30507251.0,TREND_UP,,,
2024-09-30,33.61,37.95,33.3,37.91,38998233.0,TREND_UP,,,
2024-10-09,45.49,48.68,42.59,43.0,53520147.0,TREND_UP_(M),TOP,,
2024-10-10,43.79,44.0,39.16,40.4,43656531.0,TREND_DOWN,,Tc,
2024-10-14,39.51,40.24,37.32,40.23,29899915.0,TREND_DOWN_(M),BOTTOM,,
2024-10-15,40.0,42.89,39.4,40.3,38003221.0,TREND_UP,TOP,Bc,
2024-10-16,39.0,41.24,38.83,41.24,28247587.0,TREND_DOWN,BOTTOM,Tc,
2024-10-18,42.03,45.15,40.02,43.35,29342637.0,TREND_UP_(M),,Bc,
2024-10-21,43.99,46.61,42.79,43.01,60908724.0,TREND_UP,TOP,,
2024-10-23,42.45,44.36,42.45,44.22,48425452.0,TREND_DOWN_(M),BOTTOM,Tc,
2024-10-24,46.0,48.68,44.41,44.6,89555167.0,TREND_UP,TOP,Bc,
2024-10-28,43.8,44.98,42.61,44.05,63361066.0,TREND_DOWN_(M),,Tc,
2024-10-29,44.0,44.69,42.14,42.17,42068493.0,TREND_DOWN,,,
2024-10-30,41.91,43.26,41.51,42.56,29570041.0,TREND_DOWN,BOTTOM,,
2024-10-31,42.57,44.72,41.77,43.96,43469370.0,TREND_UP,TOP,Bc,
2024-11-01,43.9,43.9,40.65,40.8,36360327.0,TREND_DOWN,,Tc,
2024-11-04,40.53,42.63,40.5,42.0,23584007.0,TREND_DOWN,BOTTOM,,
2024-11-05,41.98,43.57,41.72,43.17,34664499.0,TREND_UP,,Bc,
2024-11-06,43.2,44.6,42.55,44.01,42215968.0,TREND_UP,,,
2024-11-07,43.61,46.99,43.39,46.79,57347802.0,TREND_UP,,,
2024-11-08,48.65,56.1,46.9,52.44,83802619.0,TREND_UP,,,
2024-11-11,54.0,59.5,52.0,52.76,93904351.0,TREND_UP,TOP,,
2024-11-12,52.46,54.38,50.8,51.71,59912015.0,TREND_DOWN,,Tc,
2024-11-13,51.0,53.0,50.68,52.45,43697212.0,TREND_DOWN,,,
2024-11-14,51.9,51.9,49.48,49.6,38752139.0,TREND_DOWN,,,
2024-11-15,49.4,50.09,47.12,47.17,33508999.0,TREND_DOWN,,,
2024-11-18,46.81,48.7,45.38,47.83,35533875.0,TREND_DOWN,BOTTOM,,
2024-11-20,47.85,49.28,47.61,48.46,36152361.0,TREND_UP_(M),,Bc,
2024-11-21,48.18,50.0,47.91,49.05,32436112.0,TREND_UP,TOP,,
2024-11-22,48.56,49.8,45.4,45.92,31908877.0,TREND_DOWN,,Tc,
2024-11-26,46.0,46.0,44.0,44.45,26158350.0,TREND_DOWN_(M),,,
2024-11-27,43.68,45.45,42.83,45.43,23035184.0,TREND_DOWN,BOTTOM,,
2024-12-03,45.4,46.86,45.31,45.43,21149818.0,TREND_UP_(M),,Bc,
2024-12-04,46.42,47.26,45.41,45.7,24890270.0,TREND_UP,TOP,,
2024-12-06,44.87,46.16,44.68,46.16,15611940.0,TREND_DOWN_(M),BOTTOM,Tc,
2024-12-09,46.3,47.0,45.58,46.41,19317200.0,TREND_UP,,Bc,
2024-12-10,48.45,48.79,46.46,46.51,25980301.0,TREND_UP,TOP,,
2024-12-11,46.12,47.2,46.09,46.53,18029500.0,TREND_DOWN,BOTTOM,Tc,
2024-12-13,46.56,48.0,46.5,46.8,26468251.0,TREND_UP_(M),TOP,Bc,
2024-12-16,46.59,46.79,44.9,45.05,19386255.0,TREND_DOWN,,Tc,
2024-12-18,44.92,45.33,44.16,45.25,12780835.0,TREND_DOWN_(M),BOTTOM,,
2024-12-19,44.7,46.15,44.51,45.79,14026886.0,TREND_UP,,Bc,
2024-12-20,45.66,48.08,45.5,47.36,27069602.0,TREND_UP,,,
2024-12-24,47.36,48.99,47.08,48.99,29077015.0,TREND_UP_(M),,,
2024-12-25,48.51,49.31,47.67,48.19,24374319.0,TREND_UP,,,
2024-12-26,48.26,49.57,47.85,49.11,26658016.0,TREND_UP,TOP,,
2024-12-27,49.16,49.2,47.17,47.17,30634531.0,TREND_DOWN,,Tc,
2024-12-30,46.9,47.7,45.9,46.96,16847586.0,TREND_DOWN,,,
2024-12-31,46.97,47.2,44.01,44.13,22967185.0,TREND_DOWN,,,
2025-01-02,42.48,42.5,39.0,39.65,41316552.0,TREND_DOWN,,,
2025-01-03,39.51,39.55,38.06,38.18,20425908.0,TREND_DOWN,,,
2025-01-07,38.08,39.38,37.76,39.2,16575422.0,TREND_DOWN_(M),BOTTOM,,
2025-01-08,38.99,40.18,37.91,39.5,20488454.0,TREND_UP,,Bc,
2025-01-09,39.3,40.2,39.1,39.73,15183195.0,TREND_UP,,,
2025-01-10,39.65,41.09,39.44,39.44,20606401.0,TREND_UP,TOP,,
2025-01-13,39.01,40.49,38.82,40.25,17728187.0,TREND_DOWN,BOTTOM,Tc,
2025-01-14,40.33,43.18,39.82,43.1,29263370.0,TREND_UP,,Bc,
2025-01-15,42.8,43.56,42.43,43.4,21942860.0,TREND_UP,,,
2025-01-16,43.26,45.27,43.25,44.11,25787847.0,TREND_UP,,,
2025-01-20,43.7,45.99,43.7,44.88,26247659.0,TREND_UP_(M),,,
2025-01-21,45.11,46.2,44.47,45.89,23115384.0,TREND_UP,,,
2025-01-23,45.68,47.08,44.99,44.99,26242719.0,TREND_UP_(M),TOP,,
2025-02-06,44.78,46.83,44.05,46.83,17870534.0,TREND_DOWN_(M),BOTTOM,Tc,
2025-02-07,46.83,47.9,46.08,46.82,35078627.0,TREND_UP,TOP,Bc,
2025-02-10,47.0,47.1,45.93,46.24,26390047.0,TREND_DOWN,,Tc,
2025-02-11,46.18,46.18,44.76,45.3,21407342.0,TREND_DOWN,BOTTOM,,
2025-02-13,45.39,47.8,45.39,46.06,34189829.0,TREND_UP_(M),TOP,Bc,
2025-02-14,45.8,46.06,44.61,44.91,26150921.0,TREND_DOWN,BOTTOM,Tc,
2025-02-17,44.99,46.77,44.96,46.09,23360966.0,TREND_UP,TOP,Bc,
2025-02-18,46.0,46.4,44.1,44.25,22728029.0,TREND_DOWN,BOTTOM,Tc,
2025-02-20,44.25,46.65,44.25,46.09,36036654.0,TREND_UP_(M),,Bc,
2025-02-21,46.06,47.52,46.05,47.12,35429441.0,TREND_UP,,,
2025-02-27,46.85,49.1,46.68,47.47,29667304.0,TREND_UP_(M),TOP,,
2025-02-28,47.01,47.5,43.87,44.09,28561499.0,TREND_DOWN,,Tc,
2025-03-04,44.13,46.42,43.0,46.42,18535923.0,TREND_DOWN_(M),BOTTOM,,
2025-03-05,46.36,46.85,45.23,45.85,16670806.0,TREND_UP,,Bc,
2025-03-06,46.2,47.59,46.2,46.85,25955620.0,TREND_UP,TOP,,
2025-03-07,46.5,47.29,45.81,46.29,20908048.0,TREND_DOWN,,Tc,
2025-03-10,46.17,46.78,45.46,45.99,14301383.0,TREND_DOWN,,,
2025-03-11,45.25,45.98,45.03,45.58,12541480.0,TREND_DOWN,,,
2025-03-12,45.7,45.84,44.9,44.9,17686073.0,TREND_DOWN,,,
2025-03-13,45.0,45.06,43.2,43.93,18170610.0,TREND_DOWN,BOTTOM,,
2025-03-20,43.89,47.36,43.89,44.54,45785844.0,TREND_UP_(M),TOP,Bc,
2025-03-21,44.38,44.7,43.35,43.5,18359385.0,TREND_DOWN,,Tc,
2025-03-27,43.3,43.3,41.8,42.19,16841806.0,TREND_DOWN_(M),,,
2025-03-28,42.41,43.1,41.5,41.52,11168500.0,TREND_DOWN,,,
2025-03-31,41.3,41.99,40.9,41.68,10259482.0,TREND_DOWN,BOTTOM,,
2025-04-03,41.81,42.93,41.81,42.37,13252269.0,TREND_UP_(M),TOP,Bc,
2025-04-08,40.5,40.5,35.69,37.73,26926751.0,TREND_DOWN_(M),,Tc,
2025-04-09,37.0,39.88,35.51,39.62,25902225.0,TREND_DOWN,BOTTOM,,
2025-04-17,40.29,42.69,40.29,40.46,20118703.0,TREND_UP_(M),TOP,Bc,
2025-04-18,40.45,40.5,39.7,40.15,7341133.0,TREND_DOWN,BOTTOM,Tc,
2025-04-21,40.15,40.69,39.93,40.68,7220967.999999999,TREND_UP,,Bc,
2025-04-22,40.59,41.49,40.42,40.99,11956590.0,TREND_UP,,,
2025-04-24,41.22,41.96,40.92,41.07,12606202.0,TREND_UP_(M),,,
2025-04-25,41.17,42.5,41.0,42.26,15390450.0,TREND_UP,,,
2025-04-28,42.2,43.73,41.92,43.47,20611156.0,TREND_UP,TOP,,
